State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
New Jersey,1482000,1497841,1510519,1481605,1466956,1458000,1427000,1381528,1337327,1287809,1246008,1199643,1172520,1147841,1129223,1116194,1107467,1092982,1080871,1076005,1089646,1109796,1130560,1151307,1174206,1197381,1140777,1154565,1165244,1195618,1245009,1263047,1367438,1380753,1393347,1395602,1388850,1382348,1381420,1396029,1402548,1356431,1346300,1334400
New Mexico,281372,284948,285094,283550,282382,274612,284719,281896,279249,275572,271198,268091,268632,269711,272478,277551,281943,287229,292425,296057,301881,308667,315668,322292,327248,329640,323511,331673,328715,324489,320303,320260,320234,323066,326102,326758,328220,329040,330245,334419,338122,337225,337800,339400
New York,3489245,3538474,3508004,3465450,3434116,3417453,3338809,3222612,3093885,2969216,2871724,2783017,2718678,2674818,2645811,2621378,2607719,2594070,2573715,2565841,2598337,2643993,2689686,2733813,2766208,2813230,2689155,2706540,2720703,2735181,2734234,2738850,2888233,2864775,2836337,2815581,2809649,2765435,2740592,2766052,2734955,2704718,2691100,2676500
North Carolina,1192187,1176308,1161326,1173415,1177860,1184996,1191316,1181831,1162810,1150053,1129376,1108960,1096815,1089606,1088724,1086165,1085248,1085976,1083156,1080744,1086871,1097598,1114083,1133231,1156767,1183090,1209960,1234144,1254739,1275893,1293592,1315363,1335954,1360209,1385754,1416436,1444481,1489492,1488645,1483397,1490605,1507864,1515700,1524900
North Dakota,147013,144419,141535,138302,133241,131331,129106,125085,122021,117688,116885,117708,117078,117213,118711,118570,118703,119004,118809,117816,117825,118376,118734,119127,119288,119100,120123,118572,114927,112751,109201,106047,104225,102233,100513,98283,96670,95059,94728,95073,96323,97646,99100,100200
Ohio,2425643,2438743,2422654,2378349,2330150,2292647,2249440,2181979,2102440,2025256,1957381,1898501,1860245,1827300,1805440,1793965,1793508,1793431,1778544,1764410,1771089,1783767,1795199,1807319,1814290,1836015,1838806,1842398,1844617,1843224,1824056,1816350,1838285,1845428,1840032,1839683,1836722,1827184,1817163,1764297,1754191,1740030,1730300,1722700
Oklahoma,626956,625740,607084,600948,596380,594816,597665,594468,588870,583458,577807,582572,593825,591389,589690,592327,593183,584212,580426,578580,579087,588263,597096,604076,609718,616393,618452,620329,625322,623895,619722,618636,624548,626160,629476,634739,639391,642065,645108,654802,659911,666120,673000,677000
Oregon,479527,478502,471395,476518,476583,477559,474707,473279,471374,467128,464599,457165,448184,447109,446884,447527,449307,455895,461752,472394,472394,498614,510122,516611,521945,527914,536263,539118,540041,542085,544108,549121,554071,551273,552505,552194,562574,565586,575393,582839,570720,568208,569900,572500
Pennsylvania,2363817,2370665,2361285,2321437,2277451,2246147,2193673,2128873,2046746,1968801,1909292,1839015,1783969,1737952,1701880,1683221,1674161,1668542,1659714,1655279,1667834,1692797,1717613,1744082,1764946,1787533,1776051,1785557,1786550,1787992,1801860,1814804,1816747,1821146,1828089,1830684,1871060,1801971,1775029,1785993,1793284,1771395,1758500,1751600
Rhode Island,188090,190696,189693,184624,178662,176317,172373,166629,161285,154699,148956,143414,139959,136412,134610,133949,134690,134800,133585,135729,138813,142144,143798,145676,147487,149799,148097,149950,151195,152989,153897,158046,159205,159375,156498,153422,151612,147629,145342,145118,143793,142854,140700,139700
