State,Year,Students Per Teacher,Median Teacher Salary
Wyoming,1977,16.7,51185
Alabama,1978,18.7,42931
Alaska,1978,17.9,80074
Arizona,1978,19.9,47845
Arkansas,1978,19.8,36874
California,1978,20.2,58286
Colorado,1978,18.9,49702
Connecticut,1978,16.6,51333
Delaware,1978,18.5,50123
District of Columbia,1978,19.1,64609
Florida,1978,21.1,43721
Georgia,1978,20.6,44012
Hawaii,1978,21.5,60866
Idaho,1978,20.7,41801
Illinois,1978,18.1,54765
Indiana,1978,20.7,47364
Iowa,1978,17,47036
Kansas,1978,16.2,42262
Kentucky,1978,21.1,43667
Louisiana,1978,19.6,43117
Maine,1978,17.3,40700
Maryland,1978,19,54997
Massachusetts,1978,16.2,56390
Michigan,1978,21.8,59695
Minnesota,1978,18.2,51423
Mississippi,1978,19.2,36804
Missouri,1978,18.4,42146
Montana,1978,17,45262
Nebraska,1978,16.8,41894
Nevada,1978,23.2,50849
New Hampshire,1978,19.4,39251
New Jersey,1978,17.1,53668
New Mexico,1978,20.1,46708
New York,1978,19.6,61380
North Carolina,1978,21,45339
North Dakota,1978,16.5,39828
Ohio,1978,20.5,47345
Oklahoma,1978,18.3,40561
Oregon,1978,19.2,49483
Pennsylvania,1978,18.5,51429
Rhode Island,1978,17.3,55630
South Carolina,1978,20.8,40189
South Dakota,1978,16.9,37862
Tennessee,1978,21.2,42842
Texas,1978,18.5,43230
Utah,1978,24.2,46055
Vermont,1978,15.6,39079
Virginia,1978,18.6,44006
Washington,1978,22,57550
West Virginia,1978,20,42282
Wisconsin,1978,18.6,49423
Wyoming,1978,16.2,47975
Alabama,1979,23.6,38208
Alaska,1979,17.3,79606
Arizona,1979,19.4,44042
Arkansas,1979,19,35982
California,1979,21.2,52719
Colorado,1979,18.6,47409
Connecticut,1979,16.1,47480
Delaware,1979,17.3,47243
District of Columbia,1979,17.9,64919
Florida,1979,21,41394
Georgia,1979,20.6,40528
Hawaii,1979,23.4,58278
Idaho,1979,20.9,39820
Illinois,1979,19.1,51494
Indiana,1979,20.3,45637
Iowa,1979,16.7,44478
Kansas,1979,16.2,40052
Kentucky,1979,20.5,42480
Louisiana,1979,17.9,40256
Maine,1979,21.2,38241
Maryland,1979,18.6,51368
Massachusetts,1979,14.9,50476
Michigan,1979,21.5,57526
Minnesota,1979,17.6,46552
Mississippi,1979,18.7,34668
Missouri,1979,17.9,40028
Montana,1979,16.6,42530
Nebraska,1979,15.7,39543
Nevada,1979,21.1,47673
New Hampshire,1979,18.1,38083
New Jersey,1979,16.6,50206
New Mexico,1979,19.5,43554
New York,1979,18.7,57962
North Carolina,1979,20.4,41301
North Dakota,1979,15.6,38802
Ohio,1979,20,44671
Oklahoma,1979,17.6,38346
Oregon,1979,18.9,47588
Pennsylvania,1979,17.6,48316
Rhode Island,1979,16.7,52667
South Carolina,1979,19.7,38217
South Dakota,1979,16.5,36125
Tennessee,1979,21.1,40877
Texas,1979,18.7,41345
Utah,1979,23.8,43618
Vermont,1979,14.8,36523
Virginia,1979,18.1,41134
Washington,1979,21.5,55060
West Virginia,1979,18.1,40110
Wisconsin,1979,17.8,46827
Wyoming,1979,18.3,46845
Alabama,1980,21,40629
Alaska,1980,16.6,76114
Arizona,1980,20,44987
Arkansas,1980,18.6,34801
California,1980,21,54780
Colorado,1980,18.3,46497
Connecticut,1980,15.4,45632
Delaware,1980,17.7,47260
District of Columbia,1980,19.1,59995
Florida,1980,20.4,40393
Georgia,1980,18.9,40496
Hawaii,1980,23,55446
Idaho,1980,20.5,39615
Illinois,1980,18.4,50933
Indiana,1980,19.9,45126
Iowa,1980,16.3,44470
Kansas,1980,15.8,39984
Kentucky,1980,20.4,41295
Louisiana,1980,17.7,41977
Maine,1980,18.9,36691
Maryland,1980,18.4,49811
Massachusetts,1980,15.7,49287
Michigan,1980,21.3,57103
Minnesota,1980,17.1,46610
Mississippi,1980,18.4,34130
Missouri,1980,17.3,40433
Montana,1980,16.6,41864
Nebraska,1980,16.7,39019
Nevada,1980,21,46408
New Hampshire,1980,19.8,35926
New Jersey,1980,16.3,47837
New Mexico,1980,19.2,44080
New York,1980,18.5,55915
North Carolina,1980,20.1,41586
North Dakota,1980,15.8,39017
Ohio,1980,19.5,44321
Oklahoma,1980,17,39806
Oregon,1980,20.6,47318
Pennsylvania,1980,17.4,46906
Rhode Island,1980,16.2,52669
South Carolina,1980,19.2,37632
South Dakota,1980,16.1,35836
Tennessee,1980,20.7,39638
Texas,1980,18.2,41238
Utah,1980,23.9,44310
Vermont,1980,14.8,35501
Virginia,1980,17.7,40732
Washington,1980,21.3,55763
West Virginia,1980,17.7,39192
Wisconsin,1980,17.1,46162
Wyoming,1980,15.5,49077
Alabama,1981,20.7,37679
Alaska,1981,16,77047
Arizona,1981,19.8,46365
Arkansas,1981,18.6,35009
California,1981,23.1,54918
Colorado,1981,18.5,47248
Connecticut,1981,15,45513
Delaware,1981,17.8,46555
District of Columbia,1981,18.5,58562
Florida,1981,19.9,40497
Georgia,1981,18.8,39491
Hawaii,1981,22.7,54404
Idaho,1981,20.9,39583
Illinois,1981,18.5,50730
Indiana,1981,20,44977
Iowa,1981,16.5,44094
Kansas,1981,15.7,40333
Kentucky,1981,20.8,41728
Louisiana,1981,19.6,43273
Maine,1981,18,36455
Maryland,1981,18.5,50972
Massachusetts,1981,15.2,48870
Michigan,1981,21.9,58656
Minnesota,1981,17.1,48044
Mississippi,1981,19.3,34114
Missouri,1981,17,39612
Montana,1981,16.5,42887
Nebraska,1981,15.7,39991
Nevada,1981,21.1,48124
New Hampshire,1981,16.8,35946
New Jersey,1981,15.9,48052
New Mexico,1981,18.8,45107
New York,1981,17.7,56564
North Carolina,1981,19.9,40901
North Dakota,1981,16.8,42057
Ohio,1981,19.7,44769
Oklahoma,1981,17.2,39122
Oregon,1981,20.3,49005
Pennsylvania,1981,17.2,47019
Rhode Island,1981,16.1,52273
South Carolina,1981,19,37686
South Dakota,1981,15.8,35519
Tennessee,1981,20.5,39303
Texas,1981,18.4,42433
Utah,1981,24.6,43698
Vermont,1981,15.3,35514
Virginia,1981,17.8,41048
Washington,1981,21.7,55398
West Virginia,1981,17.3,41340
Wisconsin,1981,17.2,46789
Wyoming,1981,15,51283
Alabama,1982,20.3,40771
Alaska,1982,15.7,78638
Arizona,1982,19.5,48870
Arkansas,1982,18.2,34778
California,1982,23.3,54644
Colorado,1982,18.6,49683
Connecticut,1982,14.8,47973
Delaware,1982,17.1,47727
District of Columbia,1982,17,61630
Florida,1982,17.8,42289
Georgia,1982,18.6,40292
Hawaii,1982,22.9,57379
Idaho,1982,20.7,40693
Illinois,1982,18,51638
Indiana,1982,19.8,46628
Iowa,1982,15.7,44562
Kansas,1982,15.6,42187
Kentucky,1982,20.2,42544
Louisiana,1982,18.4,42625
Maine,1982,16.4,37599
Maryland,1982,18.5,53043
Massachusetts,1982,16.1,50541
Michigan,1982,20.8,59499
Minnesota,1982,18,52936
Mississippi,1982,18.6,33137
Missouri,1982,17.4,40544
Montana,1982,16,45591
Nebraska,1982,15.5,40292
Nevada,1982,20.9,51071
New Hampshire,1982,16.4,38295
New Jersey,1982,15.8,49835
New Mexico,1982,18.8,47160
New York,1982,17.3,57851
North Carolina,1982,19.8,40693
North Dakota,1982,16.6,43435
Ohio,1982,19.8,46290
Oklahoma,1982,17,42278
Oregon,1982,18.6,50321
Pennsylvania,1982,17.2,49007
Rhode Island,1982,15.8,53628
South Carolina,1982,18.9,38235
South Dakota,1982,15.5,36088
Tennessee,1982,20.9,40218
Texas,1982,17.8,45240
Utah,1982,25.3,45955
Vermont,1982,14.8,37652
Virginia,1982,17.4,42891
Washington,1982,21.7,54352
West Virginia,1982,16.9,40084
Wisconsin,1982,17.4,49743
Wyoming,1982,15,54820
Alabama,1983,20.1,39457
Alaska,1983,15.7,84364
Arizona,1983,19.3,48293
Arkansas,1983,18.2,37776
California,1983,23.5,55436
Colorado,1983,19.1,51939
Connecticut,1983,14.8,50491
Delaware,1983,16.8,46713
District of Columbia,1983,16,63969
Florida,1983,17.6,43507
Georgia,1983,18.6,41572
Hawaii,1983,23.2,54351
Idaho,1983,21,40133
Illinois,1983,18.1,53981
Indiana,1983,19.5,48061
Iowa,1983,15.6,44962
Kansas,1983,15.5,43315
Kentucky,1983,19.9,43870
Louisiana,1983,19,41059
Maine,1983,15.5,38667
Maryland,1983,18.3,53265
Massachusetts,1983,15.5,51230
Michigan,1983,20.5,60481
Minnesota,1983,17.9,54336
Mississippi,1983,18.7,35284
Missouri,1983,17,42998
Montana,1983,16.2,46169
Nebraska,1983,15.2,41918
Nevada,1983,20.4,49895
New Hampshire,1983,16.2,38774
New Jersey,1983,15.6,51912
New Mexico,1983,18.6,45903
New York,1983,16.9,60961
North Carolina,1983,19.8,40860
North Dakota,1983,16.6,42978
Ohio,1983,18.9,47508
Oklahoma,1983,16.9,41572
Oregon,1983,18.3,51669
Pennsylvania,1983,17,50661
Rhode Island,1983,15.4,56538
South Carolina,1983,18.7,38792
South Dakota,1983,14.7,36774
Tennessee,1983,20.9,39965
Texas,1983,17.5,45008
Utah,1983,24.8,44645
Vermont,1983,14.5,39287
Virginia,1983,17.1,43906
Washington,1983,21.2,54369
West Virginia,1983,16.5,39026
Wisconsin,1983,17.1,50902
Wyoming,1983,14.1,56226
Alabama,1984,19.4,43581
Alaska,1984,17.1,82591
Arizona,1984,19.7,50206
Arkansas,1984,18,40148
California,1984,23.3,58860
Colorado,1984,18.9,52512
Connecticut,1984,14.4,52543
Delaware,1984,16.5,49227
District of Columbia,1984,14.8,68092
Florida,1984,17.7,44743
Georgia,1984,18.9,44258
Hawaii,1984,23.2,52886
Idaho,1984,20.5,43019
Illinois,1984,18,54709
Indiana,1984,19,49074
Iowa,1984,15.4,44954
Kansas,1984,15.4,45355
Kentucky,1984,19.6,43442
Louisiana,1984,19,41853
Maine,1984,15.7,39362
Maryland,1984,17.7,55534
Massachusetts,1984,15.2,52865
Michigan,1984,19.8,61072
Minnesota,1984,17.5,54651
Mississippi,1984,18.4,34193
Missouri,1984,16.8,43919
Montana,1984,16.1,46609
Nebraska,1984,15,42622
Nevada,1984,20.2,48359
New Hampshire,1984,15.8,39892
New Jersey,1984,15.3,53320
New Mexico,1984,18.7,46837
New York,1984,16.2,60585
North Carolina,1984,19.4,44692
North Dakota,1984,15.2,43141
Ohio,1984,18.4,49128
Oklahoma,1984,16.9,40841
Oregon,1984,18.3,52349
Pennsylvania,1984,16.8,51950
Rhode Island,1984,15.4,59468
South Carolina,1984,17.9,43255
South Dakota,1984,14.4,37322
Tennessee,1984,20.6,43966
Texas,1984,17.6,49957
Utah,1984,24.7,45460
