State,Year,Students Per Teacher,Median Teacher Salary
West Virginia,2005,14.1,43988
Wisconsin,2005,14.6,53302
Wyoming,2005,12.6,49665
Alabama,2006,13.2,48624
Alaska,2006,16.8,61252
Arizona,2006,20.3,51483
Arkansas,2006,13.6,49583
California,2006,20.8,71318
Colorado,2006,16.9,51362
Connecticut,2006,14.7,68160
Delaware,2006,15.2,61277
District of Columbia,2006,13.5,66118
Florida,2006,16.4,50774
Georgia,2006,14.3,55926
Hawaii,2006,16,58186
Idaho,2006,18.1,47961
Illinois,2006,15,65273
Indiana,2006,17,53601
Iowa,2006,13.6,48333
Kansas,2006,13.3,48562
Kentucky,2006,15.8,48912
Louisiana,2006,14.7,47981
Maine,2006,11.5,46614
Maryland,2006,14.6,63795
Massachusetts,2006,13.2,65697
Michigan,2006,17.6,61518
Minnesota,2006,16.2,55622
Mississippi,2006,15.3,45030
Missouri,2006,13.6,46887
Montana,2006,13.9,46198
Nebraska,2006,13.4,47116
Nevada,2006,18.5,50812
New Hampshire,2006,13.1,52140
New Jersey,2006,12.4,67149
New Mexico,2006,14.9,47941
New York,2006,12.8,65599
North Carolina,2006,12.9,52009
North Dakota,2006,12.1,43506
Ohio,2006,16.6,58203
Oklahoma,2006,15.1,47492
Oregon,2006,18.8,57053
Pennsylvania,2006,15.2,61602
Rhode Island,2006,13.3,62707
South Carolina,2006,14.4,49457
South Dakota,2006,13.4,39646
Tennessee,2006,15.7,49102
Texas,2006,14.8,50313
Utah,2006,22.1,45460
Vermont,2006,10.8,54205
Virginia,2006,15.3,50123
Washington,2006,19.1,53659
West Virginia,2006,14.4,45421
Wisconsin,2006,14.8,53680
Wyoming,2006,12.6,56808
Alabama,2007,14.7,50064
Alaska,2007,17.2,60972
Arizona,2007,20.1,49170
Arkansas,2007,14.1,49172
California,2007,20.8,69207
Colorado,2007,16.8,50756
Connecticut,2007,14.5,66578
Delaware,2007,15,60151
District of Columbia,2007,12.4,65130
Florida,2007,14,50414
Georgia,2007,14.1,55388
Hawaii,2007,15.8,57365
Idaho,2007,18.1,47373
Illinois,2007,15.5,64964
Indiana,2007,16.8,52110
Iowa,2007,13.4,50129
Kansas,2007,13.2,48487
Kentucky,2007,15.3,50712
Louisiana,2007,14,50451
Maine,2007,11.9,46619
Maryland,2007,14.3,64529
Massachusetts,2007,13.6,64961
Michigan,2007,17.6,60261
Minnesota,2007,15.8,54338
Mississippi,2007,14.7,45551
Missouri,2007,13.4,46414
Montana,2007,13.6,46057
Nebraska,2007,13.3,46069
Nevada,2007,18.3,51252
New Hampshire,2007,13,51144
New Jersey,2007,12.4,65827
New Mexico,2007,14.8,48461
New York,2007,13.1,66960
North Carolina,2007,14,50870
North Dakota,2007,11.8,43270
Ohio,2007,16.6,57376
Oklahoma,2007,13.7,46785
Oregon,2007,18.8,55658
Pennsylvania,2007,13.3,59979
Rhode Island,2007,13.1,61413
South Carolina,2007,15,49155
South Dakota,2007,12.9,39397
Tennessee,2007,14.9,48373
Texas,2007,14.5,49608
Utah,2007,23.7,44705
Vermont,2007,10.7,50052
Virginia,2007,17.1,50271
Washington,2007,19.1,53588
West Virginia,2007,13.9,45687
Wisconsin,2007,14.8,52693
Wyoming,2007,12.5,57015
Alabama,2008,15.6,49031
Alaska,2008,16.5,61075
Arizona,2008,19.9,48486
Arkansas,2008,12.9,49651
California,2008,20.8,71218
Colorado,2008,16.8,50712
Connecticut,2008,11.7,66051
Delaware,2008,15.1,59268
District of Columbia,2008,12.9,65428
Florida,2008,14.1,49075
Georgia,2008,13.9,55306
Hawaii,2008,15.9,58291
Idaho,2008,18.2,47252
Illinois,2008,15.6,64160
Indiana,2008,16.7,51844
Iowa,2008,13.6,50870
Kansas,2008,13.1,48531
Kentucky,2008,15.4,50072
Louisiana,2008,13.9,50859
Maine,2008,12.1,46784
Maryland,2008,14.3,65734
Massachusetts,2008,13.6,69774
Michigan,2008,17.5,59958
Minnesota,2008,15.7,54322
Mississippi,2008,14.7,46540
Missouri,2008,13.5,46280
Montana,2008,13.6,46465
Nebraska,2008,13.3,47020
Nevada,2008,19.7,52365
New Hampshire,2008,12.6,52161
New Jersey,2008,12,66008
New Mexico,2008,14.5,47852
New York,2008,12.6,72290
North Carolina,2008,13.6,50881
North Dakota,2008,11.6,43566
Ohio,2008,16.1,57165
Oklahoma,2008,13.9,45858
Oregon,2008,19.1,56567
Pennsylvania,2008,13.7,59864
Rhode Island,2008,12.8,61088
South Carolina,2008,14.4,49597
South Dakota,2008,13.7,36680
Tennessee,2008,15,47640
Texas,2008,14.5,49321
Utah,2008,23.7,44278
Vermont,2008,10.7,50082
Virginia,2008,17.3,50585
Washington,2008,19.1,54980
West Virginia,2008,14,46753
Wisconsin,2008,14.7,53467
Wyoming,2008,12.5,57108
Alabama,2009,15.8,47389
Alaska,2009,16.3,59444
Arizona,2009,20.8,46773
Arkansas,2009,12.9,46522
California,2009,19.8,67943
Colorado,2009,17,49014
Connecticut,2009,12.9,64104
Delaware,2009,14.7,56862
District of Columbia,2009,11.9,64302
Florida,2009,14.3,46530
Georgia,2009,14.4,52909
Hawaii,2009,15.7,54853
Idaho,2009,18.2,46106
Illinois,2009,15.2,61840
Indiana,2009,16.8,49795
Iowa,2009,13.7,49437
Kansas,2009,13.7,46479
Kentucky,2009,16.2,49354
Louisiana,2009,13.9,48716
Maine,2009,11.6,45930
Maryland,2009,14.5,63727
Massachusetts,2009,13.7,69009
Michigan,2009,17.8,57737
Minnesota,2009,15.8,52231
Mississippi,2009,14.9,45470
Missouri,2009,13.5,45144
Montana,2009,13.5,45584
Nebraska,2009,13.3,46051
Nevada,2009,19.4,51327
New Hampshire,2009,12.7,51247
New Jersey,2009,12.1,64881
New Mexico,2009,14.7,46081
New York,2009,12.9,71360
North Carolina,2009,14.1,46671
North Dakota,2009,11.4,42800
Ohio,2009,15.8,55744
Oklahoma,2009,15.4,47509
Oregon,2009,20.3,55013
Pennsylvania,2009,13.6,58930
Rhode Island,2009,12.8,59458
South Carolina,2009,15.4,47327
South Dakota,2009,13.3,38689
Tennessee,2009,14.9,46113
Texas,2009,14.6,48077
Utah,2009,22.3,45710
Vermont,2009,10.5,48897
Virginia,2009,17.6,49824
Washington,2009,19.4,52801
West Virginia,2009,13.9,45784
Wisconsin,2009,14.9,51068
Wyoming,2009,12.3,55648
Alabama,2010,15.3,48791
Alaska,2010,16.2,61737
Arizona,2010,21.4,48054
Arkansas,2010,14.1,48202
California,2010,24.1,70165
Colorado,2010,17.4,50464
Connecticut,2010,13.1,66262
Delaware,2010,14.5,58544
District of Columbia,2010,12,67303
Florida,2010,15.1,47194
Georgia,2010,14.9,54474
Hawaii,2010,15.8,55643
Idaho,2010,17.6,47915
Illinois,2010,15.7,63669
Indiana,2010,18,50938
Iowa,2010,14.3,51167
Kansas,2010,14,47576
Kentucky,2010,16,50565
Louisiana,2010,14.3,50157
Maine,2010,12.3,47679
Maryland,2010,14.6,65799
Massachusetts,2010,13.9,71765
Michigan,2010,17.9,59212
Minnesota,2010,15.9,53776
Mississippi,2010,15.2,47311
Missouri,2010,13.8,46900
Montana,2010,13.7,47628
Nebraska,2010,13.4,48022
Nevada,2010,20,53582
New Hampshire,2010,12.7,53348
New Jersey,2010,12.7,67691
New Mexico,2010,15.1,47445
New York,2010,12.9,73474
North Carolina,2010,15.2,47343
North Dakota,2010,11.4,44732
Ohio,2010,16.1,57894
Oklahoma,2010,16,49556
Oregon,2010,20.3,56981
Pennsylvania,2010,13.8,61174
Rhode Island,2010,12.8,61565
South Carolina,2010,16.1,49955
South Dakota,2010,13.3,35572
Tennessee,2010,14.8,47539
Texas,2010,14.7,48769
Utah,2010,22.8,47062
Vermont,2010,11.6,50669
Virginia,2010,17.6,52102
Washington,2010,19.4,54363
West Virginia,2010,13.9,47751
Wisconsin,2010,15.1,52579
Wyoming,2010,12.5,57578
Alabama,2011,15,49248
Alaska,2011,17.3,62315
Arizona,2011,19.7,48504
Arkansas,2011,14.4,48654
California,2011,22.7,70823
Colorado,2011,16.8,50937
Connecticut,2011,13.5,66882
Delaware,2011,14.8,59093
District of Columbia,2011,13.6,67933
Florida,2011,16.4,47636
Georgia,2011,15.7,54984
Hawaii,2011,15.7,56164
Idaho,2011,21.5,48364
Illinois,2011,16,64265
Indiana,2011,16,51415
Iowa,2011,14.3,51647
Kansas,2011,14.5,48022
Kentucky,2011,17.2,51039
Louisiana,2011,15,50627
Maine,2011,12.3,48126
Maryland,2011,15.1,66415
Massachusetts,2011,14.9,72437
Michigan,2011,22.4,59767
Minnesota,2011,16.2,54279
Mississippi,2011,17.3,47754
Missouri,2011,13.8,47339
Montana,2011,15,48075
Nebraska,2011,14.1,48471
Nevada,2011,19.6,54083
New Hampshire,2011,13.7,53848
New Jersey,2011,12.6,68325
New Mexico,2011,16.4,47889
New York,2011,14.3,74162
North Carolina,2011,16,47787
North Dakota,2011,12.3,45151
Ohio,2011,16.1,58437
Oklahoma,2011,19.8,50020
Oregon,2011,20.3,57515
Pennsylvania,2011,14.6,61747
Rhode Island,2011,12.9,62141
South Carolina,2011,15.2,50423
South Dakota,2011,12.5,35905
Tennessee,2011,15.1,47984
Texas,2011,15.3,49226
Utah,2011,21.1,47502
Vermont,2011,11,51144
Virginia,2011,13,52590
Washington,2011,19.4,54872
West Virginia,2011,14.4,48198
Wisconsin,2011,13.8,53072
Wyoming,2011,13.1,58118
