SELPA,County,2005,2006,2007,2008,2009,2010,2011
South Bay Service,San Diego,1.002320186,3.736948159,4.105571848,2.583627958,1.028183237,2.123860539,3.102779573
Southeast Consortium,Santa Clara,3.473104617,5.544689174,2.663355314,2.599062633,3.877028181,3.042923927,1.675410391
Southwest Serv Area,Los Angeles,0,0.09649404953,1.084685843,0.8359456635,1.306930693,1.146200705,1.05135463
Stanislaus County,Stanislaus,0.7793364507,6.105263158,7.265883426,7.815233874,7.718355908,13.59382312,12.65130354
Stockton City Unified,San Joaquin,0.2422611036,0.3053858967,0.3249390739,4.093250203,3.135313531,2.105846495,6.04137931
Sutter County,Sutter,0.5749880211,0.7892293408,0.3956043956,0.08528784648,0.173837462,0,0.08699434537
Tahoe-Alpine,El Dorado,0,2.406015038,30.81664099,14.3812709,8.657243816,4.659498208,5.818181818
Tehama County,Tehama,0,2.707749767,4.35624395,1.391650099,0.469043152,0.48828125,4.287045666
Tri-City,Los Angeles,0.5452562704,0.3415559772,0.6324404762,0.7900677201,1.309707242,1.590997284,7.190050525
Tri-Valley,Alameda,1.624500666,0.7025761124,0.8803728638,0.3611971104,1.537298387,2.754082379,4.522121731
Trinity County,Trinity,0,1.357466063,14.1509434,0.4830917874,0,1.5,0
Tulare County,Tulare,0.2436383324,0.2723311547,0.824770146,1.081227193,0.7809231627,0.9490084986,0.4986840283
Tuolomne County,Tuolomne,0.7981755986,3.9193729,0.9111617312,6.141367323,5.734767025,14.78696742,4.504504505
Tustin Unified SD,Orange,1.581217058,1.3996139,1.114881241,1.222953904,1.524090462,1.880257298,3.328438571
Vallejo City Unified,Solano,4.088345865,13.54869817,9.672691744,6.317969964,3.561643836,2.116704805,1.761597181
Ventura County,Ventura,0.7487470563,0.4443643788,0.8237525187,0.993736449,0.8124166364,1.19804401,1.03186097
W Contra Costa Unified,Contra Costa,2.606684885,16.6119501,5.120213713,5.424421244,8.023809524,7.513330102,4.587378641
W Orange County,Orange,0.4887218045,0.8403361345,1.412066752,4.857089483,0.8690723597,0.94901377,3.118081181
W San Gabriel Valley,Los Angeles,0,1.792600313,1.137081491,1.728653745,1.962485092,1.927525058,0.6305596217
West End,San Bernardino,0.08799589352,0.8018243343,0.8597251819,0.2663786897,0.7319113342,0.3209067322,0.2933351525
Whittier Area Co-op,Los Angeles,1.112935596,2.121968616,1.574375679,2.407704655,2.14050494,3.59157578,4.212109816
Yolo County,Yolo,0.2605014653,6.677018634,3.107978212,1.14229765,2.155172414,2.369200395,1.943913321
Yuba County,Yuba,1.685393258,0.3885381253,1.577437859,1.753576373,3.764921947,3.833253474,2.278355622
