State,Year,Average Teacher Salary,Students per Teacher
Oregon,2010,61196,20
Pennsylvania,2010,65699,14
Rhode Island,2010,66119,13
South Carolina,2010,53650,16
South Dakota,2010,38203,13
Tennessee,2010,51055,14
Texas,2010,52377,14
Utah,2010,50543,22
Vermont,2010,54417,10
Virginia,2010,55956,17
Washington,2010,58384,19
West Virginia,2010,51283,13
Wisconsin,2010,56468,14
Wyoming,2010,61837,12
Alabama,2011,50522,15
Alaska,2011,65700,16
Arizona,2011,51246,21
Arkansas,2011,48744,14
California,2011,72127,23
Colorado,2011,51622,17
Connecticut,2011,73110,12
Delaware,2011,61885,15
District of Columbia,2011,72326,10
Florida,2011,48918,15
Georgia,2011,55716,15
Hawaii,2011,57020,16
Idaho,2011,56907,17
Illinois,2011,51098,15
Indiana,2011,60660,17
Iowa,2011,53166,14
Kansas,2011,52876,12
Kentucky,2011,49169,16
Louisiana,2011,52339,14
Maine,2011,52812,12
Maryland,2011,49822,14
Massachusetts,2011,66973,13
Michigan,2011,75484,18
Minnesota,2011,64790,16
Mississippi,2011,57843,15
Missouri,2011,43831,13
Montana,2011,48841,14
Nebraska,2011,51093,13
Nevada,2011,50681,21
New Hampshire,2011,57422,13
New Jersey,2011,70597,12
New Mexico,2011,48016,15
New York,2011,77249,13
North Carolina,2011,48358,15
North Dakota,2011,48475,11
Ohio,2011,59691,16
Oklahoma,2011,46720,15
Oregon,2011,60357,21
Pennsylvania,2011,65184,14
Rhode Island,2011,65449,12
South Carolina,2011,49916,15
South Dakota,2011,40840,14
Tennessee,2011,49552,15
Texas,2011,50911,15
Utah,2011,50686,23
Vermont,2011,53998,10
Virginia,2011,51258,13
Washington,2011,54972,19
West Virginia,2011,47698,13
Wisconsin,2011,56614,15
Wyoming,2011,60224,11
Alabama,2012,49432,#DIV/0!
Alaska,2012,67492,#DIV/0!
Arizona,2012,51428,#DIV/0!
Arkansas,2012,48073,#DIV/0!
California,2012,71468,#DIV/0!
Colorado,2012,51385,#DIV/0!
Connecticut,2012,71543,#DIV/0!
Delaware,2012,61524,#DIV/0!
District of Columbia,2012,73099,#DIV/0!
Florida,2012,48039,#DIV/0!
Georgia,2012,54515,#DIV/0!
Hawaii,2012,55979,#DIV/0!
Idaho,2012,51272,#DIV/0!
Illinois,2012,60941,#DIV/0!
Indiana,2012,51613,#DIV/0!
Iowa,2012,52521,#DIV/0!
Kansas,2012,48932,#DIV/0!
Kentucky,2012,51755,#DIV/0!
Louisiana,2012,52970,#DIV/0!
Maine,2012,49928,#DIV/0!
Maryland,2012,66235,#DIV/0!
Massachusetts,2012,74571,#DIV/0!
Michigan,2012,63464,#DIV/0!
Minnesota,2012,58008,#DIV/0!
Mississippi,2012,43107,#DIV/0!
Missouri,2012,48986,#DIV/0!
Montana,2012,50366,#DIV/0!
Nebraska,2012,50512,#DIV/0!
Nevada,2012,57687,#DIV/0!
New Hampshire,2012,57318,#DIV/0!
New Jersey,2012,70924,#DIV/0!
New Mexico,2012,46859,#DIV/0!
New York,2012,77607,#DIV/0!
North Carolina,2012,47151,#DIV/0!
North Dakota,2012,48808,#DIV/0!
Ohio,2012,58048,#DIV/0!
Oklahoma,2012,45745,#DIV/0!
Oregon,2012,59394,#DIV/0!
Pennsylvania,2012,64942,#DIV/0!
Rhode Island,2012,65437,#DIV/0!
South Carolina,2012,49871,#DIV/0!
South Dakota,2012,40225,#DIV/0!
Tennessee,2012,49034,#DIV/0!
Texas,2012,50329,#DIV/0!
Utah,2012,50920,#DIV/0!
Vermont,2012,54150,#DIV/0!
Virginia,2012,50175,#DIV/0!
Washington,2012,53849,#DIV/0!
West Virginia,2012,46859,#DIV/0!
Wisconsin,2012,55461,#DIV/0!
Wyoming,2012,58531,#DIV/0!
Alabama,2013,49515,
Alaska,2013,66966,
Arizona,2013,46075,
Arkansas,2013,48091,
California,2013,72561,
Colorado,2013,50425,
Connecticut,2013,71735,
Delaware,2013,60273,
District of Columbia,2013,74356,
Florida,2013,48560,
Georgia,2013,53788,
Hawaii,2013,57209,
Idaho,2013,45190,
Illinois,2013,61105,
Indiana,2013,51110,
Iowa,2013,52881,
Kansas,2013,49008,
Kentucky,2013,51385,
Louisiana,2013,49868,
Maine,2013,50035,
Maryland,2013,65599,
Massachusetts,2013,74389,
Michigan,2013,63180,
Minnesota,2013,55645,
Mississippi,2013,42875,
Missouri,2013,47513,
Montana,2013,50707,
Nebraska,2013,50347,
Nevada,2013,56724,
New Hampshire,2013,57988,
New Jersey,2013,69351,
New Mexico,2013,46473,
New York,2013,77656,
North Carolina,2013,45724,
North Dakota,2013,49460,
Ohio,2013,56825,
Oklahoma,2013,45276,
Oregon,2013,59595,
Pennsylvania,2013,64740,
Rhode Island,2013,65752,
South Carolina,2013,49220,
South Dakota,2013,40676,
Tennessee,2013,48521,
Texas,2013,50501,
Utah,2013,46237,
Vermont,2013,56871,
Virginia,2013,50639,
Washington,2013,54555,
West Virginia,2013,45822,
Wisconsin,2013,54555,
Wyoming,2013,57506,
