State,Year,Average Teacher Salary,Students per Teacher
Oregon,1977,51078,19
Pennsylvania,1977,53367,19
Rhode Island,1977,58999,18
South Carolina,1977,42153,21
South Dakota,1977,40048,18
Tennessee,1977,43993,22
Texas,1977,46278,19
Utah,1977,51269,25
Vermont,1977,41727,17
Virginia,1977,46301,18
Washington,1977,59476,23
West Virginia,1977,44516,19
Wisconsin,1977,51840,17
Wyoming,1977,52097,17
Alabama,1978,43405,19
Alaska,1978,80954,18
Arizona,1978,48371,20
Arkansas,1978,37280,20
California,1978,58928,20
Colorado,1978,50248,19
Connecticut,1978,51900,17
Delaware,1978,50676,18
District of Columbia,1978,65321,19
Florida,1978,44203,21
Georgia,1978,44497,21
Hawaii,1978,61535,22
Idaho,1978,42261,21
Illinois,1978,55367,18
Indiana,1978,47885,21
Iowa,1978,47554,17
Kansas,1978,42726,16
Kentucky,1978,44149,21
Louisiana,1978,43590,20
Maine,1978,41147,17
Maryland,1978,55603,19
Massachusetts,1978,57011,16
Michigan,1978,60351,22
Minnesota,1978,51987,18
Mississippi,1978,37208,19
Missouri,1978,42610,18
Montana,1978,45761,17
Nebraska,1978,42356,17
Nevada,1978,51410,23
New Hampshire,1978,39684,19
New Jersey,1978,54259,17
New Mexico,1978,47220,20
New York,1978,62054,20
North Carolina,1978,45837,21
North Dakota,1978,40264,17
Ohio,1978,47866,20
Oklahoma,1978,41009,18
Oregon,1978,50026,19
Pennsylvania,1978,51994,18
Rhode Island,1978,56242,17
South Carolina,1978,40631,21
South Dakota,1978,38279,17
Tennessee,1978,43314,21
Texas,1978,43706,19
Utah,1978,46563,24
Vermont,1978,39509,16
Virginia,1978,44490,19
Washington,1978,58184,22
West Virginia,1978,42748,20
Wisconsin,1978,49968,19
Wyoming,1978,48502,16
Alabama,1979,37262,24
Alaska,1979,77638,17
Arizona,1979,42952,19
Arkansas,1979,35091,19
California,1979,51415,21
Colorado,1979,46238,19
Connecticut,1979,46306,16
Delaware,1979,46075,17
