State,Year,Teachers,Students
Utah,1975,12521,309708
Vermont,1975,6421,104874
Virginia,1975,58330,1103669
Washington,1975,33698,785449
West Virginia,1975,19590,404119
Wisconsin,1975,51847,964219
Wyoming,1975,5207,88184
Alabama,1976,37259,752507
Alaska,1976,4475,91190
Arizona,1976,23482,502817
Arkansas,1976,21821,460593
California,1976,206563,4380400
Colorado,1976,29259,564087
Connecticut,1976,36299,635000
Delaware,1976,6235,122273
District of Columbia,1976,6057,125848
Florida,1976,73505,1537336
Georgia,1976,46451,1095142
Hawaii,1976,7914,174943
Idaho,1976,9277,200005
Illinois,1976,110500,2238129
Indiana,1976,53089,1163179
Iowa,1976,33334,605127
Kansas,1976,25633,458330
Kentucky,1976,32300,694000
Louisiana,1976,40428,839499
Maine,1976,13230,248822
Maryland,1976,42891,860929
Massachusetts,1976,62982,1169000
Michigan,1976,87999,2035703
Minnesota,1976,45024,862591
Mississippi,1976,24130,510209
Missouri,1976,48563,950142
Montana,1976,9580,170552
Nebraska,1976,17852,312024
Nevada,1976,5995,141791
New Hampshire,1976,9624,175496
New Jersey,1976,80010,1427000
New Mexico,1976,12887,284719
New York,1976,172102,3338809
North Carolina,1976,52906,1191316
North Dakota,1976,7551,129106
Ohio,1976,105588,2249440
Oklahoma,1976,30405,597665
Oregon,1976,23942,474707
Pennsylvania,1976,114425,2193673
Rhode Island,1976,9162,172373
South Carolina,1976,30917,620711
South Dakota,1976,8163,148080
Tennessee,1976,40135,841974
Texas,1976,142400,2822754
Utah,1976,12779,314471
Vermont,1976,6314,104356
Virginia,1976,59538,1100723
Washington,1976,33690,780730
West Virginia,1976,20175,404771
Wisconsin,1976,49366,945337
Wyoming,1976,4991,90587
Alabama,1977,37980,761880
Alaska,1977,4915,90344
Arizona,1977,24189,513817
Arkansas,1977,22463,458778
California,1977,207000,4303665
Colorado,1977,29158,561807
Connecticut,1977,36425,616389
Delaware,1977,6029,118000
District of Columbia,1977,6022,119875
Florida,1977,70598,1535570
Georgia,1977,52920,1089625
Hawaii,1977,7891,172356
Idaho,1977,9561,201433
Illinois,1977,107000,2173352
Indiana,1977,52649,1143722
Iowa,1977,33331,588760
Kansas,1977,25613,446592
Kentucky,1977,32860,697000
Louisiana,1977,40794,839000
Maine,1977,13425,245768
Maryland,1977,42637,836912
Massachusetts,1977,66224,1116810
Michigan,1977,87452,1968975
Minnesota,1977,44631,836420
Mississippi,1977,24831,502025
Missouri,1977,49618,931232
Montana,1977,9650,168732
Nebraska,1977,17943,306207
Nevada,1977,6391,143444
New Hampshire,1977,9600,174618
New Jersey,1977,78701,1381528
New Mexico,1977,13832,281896
New York,1977,174991,3222612
North Carolina,1977,53836,1181831
North Dakota,1977,7389,125085
Ohio,1977,105286,2181979
Oklahoma,1977,31177,594468
Oregon,1977,24312,473279
Pennsylvania,1977,112956,2128873
Rhode Island,1977,9112,166629
South Carolina,1977,29666,620723
South Dakota,1977,8072,143630
Tennessee,1977,40029,878424
Texas,1977,147544,2842842
Utah,1977,12871,317332
Vermont,1977,6170,102934
Virginia,1977,60082,1082184
Washington,1977,33691,776463
West Virginia,1977,20674,401369
Wisconsin,1977,52940,917863
Wyoming,1977,5541,92321
Alabama,1978,40771,761666
Alaska,1978,5057,90728
Arizona,1978,25654,509830
Arkansas,1978,23112,456698
California,1978,207000,4187967
Colorado,1978,29461,558285
Connecticut,1978,35739,593757
Delaware,1978,6014,111034
District of Columbia,1978,5964,113858
