State,Year,Income per Capita,Expenditures per Student
Missouri,1978,28273,5551
Montana,1978,28331,7185
Nebraska,1978,29809,6684
Nevada,1978,35966,6012
New Hampshire,1978,28894,5549
New Jersey,1978,34409,8893
New Mexico,1978,25954,5999
New York,1978,32572,9461
North Carolina,1978,24890,5373
North Dakota,1978,29932,6318
Ohio,1978,29845,5913
Oklahoma,1978,27108,5859
Oregon,1978,30873,7867
Pennsylvania,1978,29976,7493
Rhode Island,1978,28495,7786
South Carolina,1978,23590,5031
South Dakota,1978,27224,5734
Tennessee,1978,25010,4976
Texas,1978,28978,5548
Utah,1978,25485,5288
Vermont,1978,25736,6341
Virginia,1978,30971,5610
Washington,1978,32829,7321
West Virginia,1978,23931,5410
Wisconsin,1978,29725,7236
Wyoming,1978,33534,7333
Alabama,1979,23602,4957
Alaska,1979,44279,13912
Arizona,1979,28306,6081
Arkansas,1979,23090,4799
California,1979,35049,7259
Colorado,1979,31625,7362
Connecticut,1979,35587,7065
Delaware,1979,31351,8434
District of Columbia,1979,39639,9166
Florida,1979,29454,5980
Georgia,1979,25414,4861
Hawaii,1979,34370,6802
Idaho,1979,25832,5048
Illinois,1979,33086,7307
Indiana,1979,28202,5569
Iowa,1979,29447,7056
Kansas,1979,30093,6400
Kentucky,1979,24482,5077
Louisiana,1979,25382,5311
Maine,1979,24733,5517
Maryland,1979,33920,7475
Massachusetts,1979,31012,8306
Michigan,1979,30950,8136
Minnesota,1979,30220,7487
Mississippi,1979,21521,5113
Missouri,1979,28182,5621
Montana,1979,27162,7380
Nebraska,1979,28805,6601
Nevada,1979,35228,6221
New Hampshire,1979,29082,5647
New Jersey,1979,34227,9212
New Mexico,1979,25352,6098
New York,1979,32170,9619
North Carolina,1979,24426,5332
North Dakota,1979,27530,6330
Ohio,1979,29597,6176
Oklahoma,1979,27706,5900
Oregon,1979,30513,7865
Pennsylvania,1979,29767,7592
Rhode Island,1979,28486,7630
South Carolina,1979,23386,5208
South Dakota,1979,26898,5806
Tennessee,1979,24632,4966
Texas,1979,29151,5672
Utah,1979,24902,5073
Vermont,1979,25646,6293
Virginia,1979,30764,5948
Washington,1979,32773,7782
West Virginia,1979,23742,5701
Wisconsin,1979,29676,7253
Wyoming,1979,33536,7724
Alabama,1980,22757,5275
Alaska,1980,44347,15817
Arizona,1980,27852,6012
Arkansas,1980,21811,4552
California,1980,34445,7002
Colorado,1980,31472,7207
Connecticut,1980,35542,7788
Delaware,1980,31064,7815
District of Columbia,1980,37576,8474
Florida,1980,29516,6347
Georgia,1980,24664,4539
Hawaii,1980,34120,6875
Idaho,1980,25302,4988
Illinois,1980,31486,6913
Indiana,1980,26770,5166
Iowa,1980,27588,7197
Kansas,1980,28981,6628
Kentucky,1980,23348,4702
Louisiana,1980,25307,6530
Maine,1980,24469,5182
Maryland,1980,33058,7413
Massachusetts,1980,30762,7856
Michigan,1980,29191,8306
Minnesota,1980,29381,7237
Mississippi,1980,20493,4317
Missouri,1980,26919,5589
Montana,1980,26319,7035
Nebraska,1980,27005,6443
Nevada,1980,34319,5530
New Hampshire,1980,28930,5849
New Jersey,1980,33908,8412
New Mexico,1980,24724,5934
New York,1980,31595,9263
North Carolina,1980,23885,5373
North Dakota,1980,23228,6247
Ohio,1980,28467,6090
Oklahoma,1980,27654,5933
Oregon,1980,29257,7992
Pennsylvania,1980,28800,7455
Rhode Island,1980,28303,7625
South Carolina,1980,22837,4667
South Dakota,1980,23773,5414
Tennessee,1980,23762,4812
Texas,1980,28786,5260
Utah,1980,23926,4913
Vermont,1980,25092,6743
Virginia,1980,30380,5815
Washington,1980,31828,6792
West Virginia,1980,22915,5654
Wisconsin,1980,28717,7044
Wyoming,1980,33345,7923
Alabama,1981,22759,4987
Alaska,1981,43905,15785
Arizona,1981,27901,5917
Arkansas,1981,22311,4502
California,1981,34180,6904
Colorado,1981,31875,7179
Connecticut,1981,35927,7953
Delaware,1981,30912,7538
District of Columbia,1981,36659,8580
Florida,1981,29584,6217
Georgia,1981,24816,4873
Hawaii,1981,32979,6803
Idaho,1981,24813,4727
Illinois,1981,31578,6670
Indiana,1981,26662,5420
Iowa,1981,28349,7065
Kansas,1981,29503,6635
Kentucky,1981,23485,4578
Louisiana,1981,25972,6184
Maine,1981,24321,5386
Maryland,1981,32958,7441
Massachusetts,1981,30896,7350
Michigan,1981,28466,7883
Minnesota,1981,29255,7225
Mississippi,1981,20707,4161
Missouri,1981,27165,5457
Montana,1981,26795,7094
Nebraska,1981,28248,6664
Nevada,1981,33424,5819
New Hampshire,1981,29201,5913
New Jersey,1981,34112,8857
New Mexico,1981,24782,6293
New York,1981,31896,9598
North Carolina,1981,24074,5145
North Dakota,1981,27295,6806
Ohio,1981,28079,5977
Oklahoma,1981,28610,6533
Oregon,1981,28274,7706
Pennsylvania,1981,28821,7304
Rhode Island,1981,28417,7163
South Carolina,1981,22876,4689
South Dakota,1981,25092,5674
Tennessee,1981,23785,4623
Texas,1981,29612,5269
Utah,1981,23576,4586
Vermont,1981,25422,6903
Virginia,1981,30357,5768
Washington,1981,31412,6401
West Virginia,1981,22595,6232
Wisconsin,1981,28271,6936
Wyoming,1981,32992,8301
Alabama,1982,22610,5036
Alaska,1982,46970,17168
Arizona,1982,27057,5974
Arkansas,1982,22095,4543
California,1982,33678,6667
Colorado,1982,32029,7225
Connecticut,1982,36422,8627
Delaware,1982,31213,7790
District of Columbia,1982,36989,9155
Florida,1982,29336,6191
Georgia,1982,24953,4943
Hawaii,1982,32272,7340
Idaho,1982,24085,4822
Illinois,1982,31534,6664
Indiana,1982,26037,5495
Iowa,1982,27680,7162
