State,Year,Income per Capita,Expenditures per Student
West Virginia,2007,33793,12006
Wisconsin,2007,43089,12779
Wyoming,2007,53405,15821
Alabama,2008,37389,9941
Alaska,2008,49448,17140
Arizona,2008,38003,8960
Arkansas,2008,35680,10023
California,2008,47973,10577
Colorado,2008,47249,10000
Connecticut,2008,62405,17336
Delaware,2008,45911,13391
District of Columbia,2008,75414,24302
Florida,2008,43901,9930
Georgia,2008,38533,10876
Hawaii,2008,47150,13769
Idaho,2008,36242,7906
Illinois,2008,47278,12744
Indiana,2008,38658,10287
Iowa,2008,43705,11055
Kansas,2008,44817,11650
Kentucky,2008,36136,9940
Louisiana,2008,41423,12189
Maine,2008,40635,13597
Maryland,2008,54980,15598
Massachusetts,2008,55989,16451
Michigan,2008,38914,11739
Minnesota,2008,47504,12273
Mississippi,2008,33808,9067
Missouri,2008,40894,10874
Montana,2008,38478,11202
Nebraska,2008,44924,11924
Nevada,2008,44512,9226
New Hampshire,2008,48576,14035
New Jersey,2008,57255,19851
New Mexico,2008,37179,10816
New York,2008,53472,20731
North Carolina,2008,39541,9461
North Dakota,2008,46117,10922
Ohio,2008,39973,11979
Oklahoma,2008,41673,9224
Oregon,2008,40302,10788
Pennsylvania,2008,45423,13646
Rhode Island,2008,46106,16406
South Carolina,2008,36668,10487
South Dakota,2008,44078,9591
Tennessee,2008,38610,8942
Texas,2008,43593,9880
Utah,2008,36759,7270
Vermont,2008,44346,17473
Virginia,2008,49605,12313
Washington,2008,48502,10651
West Virginia,2008,34558,12229
Wisconsin,2008,42685,12834
Wyoming,2008,55236,16082
Alabama,2009,36753,9932
Alaska,2009,48787,17802
Arizona,2009,36077,8869
Arkansas,2009,35011,10548
California,2009,45890,10392
Colorado,2009,45336,10214
Connecticut,2009,60070,17819
Delaware,2009,45410,13568
District of Columbia,2009,73858,26488
Florida,2009,41471,9975
Georgia,2009,37100,10677
Hawaii,2009,47457,13052
Idaho,2009,35163,7911
Illinois,2009,45442,13495
Indiana,2009,37383,10586
Iowa,2009,43115,11255
Kansas,2009,42993,11362
Kentucky,2009,35704,10313
Louisiana,2009,40174,12334
Maine,2009,41004,14022
Maryland,2009,54682,15996
Massachusetts,2009,54899,16721
Michigan,2009,37471,11850
Minnesota,2009,45626,11968
Mississippi,2009,33488,9158
Missouri,2009,40008,11034
Montana,2009,37510,11759
Nebraska,2009,43948,12646
Nevada,2009,41292,9340
New Hampshire,2009,48040,14646
New Jersey,2009,55773,20424
New Mexico,2009,36372,10857
New York,2009,52274,21336
North Carolina,2009,38841,9246
North Dakota,2009,45440,11767
Ohio,2009,39158,12595
Oklahoma,2009,38563,9342
Oregon,2009,39186,10612
Pennsylvania,2009,45062,14187
Rhode Island,2009,45604,16486
South Carolina,2009,35997,10370
South Dakota,2009,42954,10064
Tennessee,2009,38063,9112
Texas,2009,40802,10200
Utah,2009,34982,7120
Vermont,2009,43856,18649
Virginia,2009,48883,11985
Washington,2009,46520,10593
West Virginia,2009,35025,13613
Wisconsin,2009,42460,13261
Wyoming,2009,49363,16809
Alabama,2010,36785,9574
Alaska,2010,49451,18503
Arizona,2010,36892,8515
Arkansas,2010,34747,10627
California,2010,45888,10051
Colorado,2010,45244,9894
Connecticut,2010,59925,18122
Delaware,2010,44463,13703
District of Columbia,2010,75352,26183
Florida,2010,41759,10000
Georgia,2010,37270,10312
Hawaii,2010,45222,13058
Idaho,2010,34838,7452
Illinois,2010,45618,13236
Indiana,2010,37273,10153
Iowa,2010,42362,11247
Kansas,2010,42121,11143
Kentucky,2010,35737,10397
Louisiana,2010,40371,12241
Maine,2010,40387,13962
Maryland,2010,54302,15875
Massachusetts,2010,55878,15982
Michigan,2010,38074,11746
Minnesota,2010,46203,11786
Mississippi,2010,33464,8811
Missouri,2010,39728,10596
Montana,2010,37564,11745
Nebraska,2010,43331,12524
Nevada,2010,39783,9236
New Hampshire,2010,48798,14941
New Jersey,2010,55285,19855
New Mexico,2010,36004,10281
New York,2010,53810,21046
North Carolina,2010,38457,9121
North Dakota,2010,46966,12019
Ohio,2010,39286,12582
Oklahoma,2010,38975,8852
Oregon,2010,38959,10500
Pennsylvania,2010,45186,14361
Rhode Island,2010,46681,16457
South Carolina,2010,35455,9995
South Dakota,2010,44077,9847
Tennessee,2010,38447,9484
Texas,2010,41311,9926
Utah,2010,35214,6989
Vermont,2010,43557,17939
Virginia,2010,48660,11531
Washington,2010,46175,10561
West Virginia,2010,34510,13710
Wisconsin,2010,42031,13641
Wyoming,2010,48865,17163
