State,Year,Income per Capita,Percentage of 6-17 Year-Olds in Poverty
Missouri,1979,27870,12
Montana,1979,26673,19
Nebraska,1979,28409,10
Nevada,1979,34687,12
New Hampshire,1979,28538,9
New Jersey,1979,33663,15
New Mexico,1979,25036,21
New York,1979,31577,17
North Carolina,1979,24134,23
North Dakota,1979,27132,11
Ohio,1979,29135,11
Oklahoma,1979,27321,15
Oregon,1979,30149,10
Pennsylvania,1979,29337,14
Rhode Island,1979,27854,13
South Carolina,1979,23046,17
South Dakota,1979,26452,10
Tennessee,1979,24391,20
Texas,1979,28695,19
Utah,1979,24587,10
Vermont,1979,25229,12
Virginia,1979,30187,14
Washington,1979,32299,12
West Virginia,1979,23409,19
Wisconsin,1979,29318,10
Wyoming,1979,33194,6
Alabama,1980,22364,30
Alaska,1980,43283,12
Arizona,1980,27222,12
Arkansas,1980,21448,27
California,1980,33717,13
Colorado,1980,30779,9
Connecticut,1980,34925,8
Delaware,1980,30550,12
District of Columbia,1980,36992,29
Florida,1980,28777,22
Georgia,1980,24177,20
Hawaii,1980,33482,12
Idaho,1980,24799,11
Illinois,1980,30971,19
Indiana,1980,26348,12
Iowa,1980,27154,5
Kansas,1980,28463,9
Kentucky,1980,22964,15
Louisiana,1980,24810,25
Maine,1980,24041,14
Maryland,1980,32459,6
Massachusetts,1980,30236,13
Michigan,1980,28757,11
Minnesota,1980,28856,8
Mississippi,1980,20136,24
Missouri,1980,26470,14
Montana,1980,25839,20
Nebraska,1980,26541,10
Nevada,1980,33375,7
New Hampshire,1980,28367,9
New Jersey,1980,33327,18
New Mexico,1980,24219,22
New York,1980,31087,18
North Carolina,1980,23444,18
North Dakota,1980,22808,16
Ohio,1980,28014,11
Oklahoma,1980,27083,13
Oregon,1980,28712,13
Pennsylvania,1980,28339,12
Rhode Island,1980,27813,11
South Carolina,1980,22389,28
South Dakota,1980,23399,17
Tennessee,1980,23345,21
Texas,1980,28121,20
Utah,1980,23365,11
Vermont,1980,24649,12
Virginia,1980,29787,15
Washington,1980,31158,11
West Virginia,1980,22537,22
Wisconsin,1980,28231,8
Wyoming,1980,32501,6
Alabama,1981,22403,29
Alaska,1981,43219,11
