State,Year,Income per Capita,Percentage of 6-17 Year-Olds in Poverty
Kansas,1997,36245,11
Kentucky,1997,30923,28
Louisiana,1997,30691,28
Maine,1997,33353,14
Maryland,1997,42556,15
Massachusetts,1997,45202,14
Michigan,1997,37537,16
Minnesota,1997,39083,13
Mississippi,1997,27715,26
Missouri,1997,35528,12
Montana,1997,29402,25
Nebraska,1997,36072,11
Nevada,1997,39892,10
New Hampshire,1997,40661,7
New Jersey,1997,47634,14
New Mexico,1997,29509,33
New York,1997,44225,25
North Carolina,1997,35002,18
North Dakota,1997,30824,11
Ohio,1997,36319,17
Oklahoma,1997,30463,24
Oregon,1997,36187,20
Pennsylvania,1997,37716,16
Rhode Island,1997,37427,11
South Carolina,1997,31276,21
South Dakota,1997,32839,12
Tennessee,1997,33794,20
Texas,1997,34542,22
Utah,1997,30795,8
Vermont,1997,34465,17
Virginia,1997,39678,17
Washington,1997,39604,16
West Virginia,1997,28298,23
Wisconsin,1997,36718,11
Wyoming,1997,34763,10
Alabama,1998,32494,25
Alaska,1998,41082,11
Arizona,1998,34507,25
Arkansas,1998,30247,24
California,1998,41603,25
Colorado,1998,42477,9
Connecticut,1998,53666,11
Delaware,1998,41354,16
District of Columbia,1998,54266,36
Florida,1998,38631,19
Georgia,1998,37176,25
Hawaii,1998,37956,19
Idaho,1998,32403,19
Illinois,1998,42695,16
Indiana,1998,36694,13
Iowa,1998,36198,12
Kansas,1998,37736,13
Kentucky,1998,32061,24
Louisiana,1998,31476,22
Maine,1998,34937,15
Maryland,1998,44692,10
Massachusetts,1998,46986,21
Michigan,1998,38917,14
Minnesota,1998,41488,15
Mississippi,1998,28658,21
Missouri,1998,36474,19
Montana,1998,30985,18
Nebraska,1998,37772,9
Nevada,1998,40831,15
New Hampshire,1998,42846,12
New Jersey,1998,49497,15
New Mexico,1998,30400,31
New York,1998,45435,24
North Carolina,1998,36378,15
North Dakota,1998,33399,20
Ohio,1998,37729,14
Oklahoma,1998,31605,17
Oregon,1998,37296,14
Pennsylvania,1998,39105,15
Rhode Island,1998,39180,21
South Carolina,1998,32577,19
South Dakota,1998,34899,16
Tennessee,1998,36148,18
Texas,1998,36398,23
Utah,1998,32020,12
Vermont,1998,36264,13
Virginia,1998,41308,18
Washington,1998,42054,12
West Virginia,1998,29035,20
Wisconsin,1998,38435,10
Wyoming,1998,36314,13
Alabama,1999,32856,21
Alaska,1999,41165,10
Arizona,1999,34926,25
Arkansas,1999,30536,14
California,1999,42850,22
Colorado,1999,43897,13
Connecticut,1999,54754,15
Delaware,1999,41955,15
District of Columbia,1999,55091,46
Florida,1999,38982,21
Georgia,1999,37900,24
Hawaii,1999,38409,14
Idaho,1999,33165,17
Illinois,1999,43146,13
Indiana,1999,37126,13
Iowa,1999,36181,15
Kansas,1999,38090,12
Kentucky,1999,32501,16
Louisiana,1999,31303,29
Maine,1999,35626,12
Maryland,1999,45999,9
Massachusetts,1999,48642,14
Michigan,1999,39718,15
Minnesota,1999,42209,12
Mississippi,1999,28780,19
Missouri,1999,36908,13
Montana,1999,31080,22
Nebraska,1999,38481,13
Nevada,1999,41546,13
New Hampshire,1999,43636,13
New Jersey,1999,50224,13
New Mexico,1999,30414,23
New York,1999,46488,24
North Carolina,1999,36984,22
North Dakota,1999,33126,18
Ohio,1999,38095,16
Oklahoma,1999,31863,20
Oregon,1999,37691,19
Pennsylvania,1999,39879,18
Rhode Island,1999,39665,18
South Carolina,1999,33137,18
South Dakota,1999,35844,9
Tennessee,1999,36504,14
Texas,1999,36947,20
Utah,1999,32690,12
Vermont,1999,37335,14
Virginia,1999,42611,8
Washington,1999,43446,11
West Virginia,1999,29170,26
Wisconsin,1999,38884,11
Wyoming,1999,37855,13
Alabama,2000,33324,20
Alaska,2000,42610,9
Arizona,2000,35908,15
Arkansas,2000,30826,15
California,2000,45147,19
Colorado,2000,46312,12
Connecticut,2000,57097,11
Delaware,2000,43430,17
District of Columbia,2000,58461,25
Florida,2000,40011,18
Georgia,2000,38795,18
Hawaii,2000,39140,10
Idaho,2000,34176,17
Illinois,2000,44562,14
Indiana,2000,38040,8
Iowa,2000,37322,7
Kansas,2000,38920,17
Kentucky,2000,33743,14
Louisiana,2000,31868,25
Maine,2000,36679,19
Maryland,2000,47806,7
Massachusetts,2000,51999,20
Michigan,2000,40613,12
Minnesota,2000,43740,10
Mississippi,2000,29178,23
Missouri,2000,37894,18
Montana,2000,31923,20
Nebraska,2000,39195,10
Nevada,2000,42227,15
New Hampshire,2000,46384,7
New Jersey,2000,52981,11
New Mexico,2000,31685,30
New York,2000,47773,20
North Carolina,2000,37695,19
North Dakota,2000,35007,17
Ohio,2000,38725,14
Oklahoma,2000,33559,13
Oregon,2000,39059,17
Pennsylvania,2000,41245,12
Rhode Island,2000,40864,15
South Carolina,2000,33995,15
South Dakota,2000,36885,7
Tennessee,2000,37187,17
Texas,2000,38348,21
Utah,2000,33516,7
Vermont,2000,38626,11
Virginia,2000,43911,10
Washington,2000,44469,9
West Virginia,2000,29898,21
Wisconsin,2000,39759,9
Wyoming,2000,39145,13
Alabama,2001,33611,18
Alaska,2001,43225,9
Arizona,2001,35801,18
Arkansas,2001,31383,19
California,2001,44819,18
Colorado,2001,46350,13
Connecticut,2001,57475,11
Delaware,2001,44711,12
District of Columbia,2001,59295,26
Florida,2001,40188,16
Georgia,2001,38907,15
Hawaii,2001,38996,12
Idaho,2001,34296,18
Illinois,2001,44400,15
Indiana,2001,37688,10
Iowa,2001,37331,9
Kansas,2001,39201,10
Kentucky,2001,33837,17
Louisiana,2001,33020,24
Maine,2001,37194,11
Maryland,2001,48426,8
Massachusetts,2001,52323,14
Michigan,2001,39780,12
Minnesota,2001,43842,6
Mississippi,2001,29970,20
Missouri,2001,37872,10
Montana,2001,32559,17
Nebraska,2001,39705,10
Nevada,2001,41794,13
New Hampshire,2001,46228,5
New Jersey,2001,52916,8
New Mexico,2001,33192,23
New York,2001,47733,20
North Carolina,2001,37454,16
North Dakota,2001,34920,11
Ohio,2001,38692,13
Oklahoma,2001,34947,21
Oregon,2001,38593,16
Pennsylvania,2001,41464,10
Rhode Island,2001,41532,14
South Carolina,2001,33996,13
South Dakota,2001,37417,14
Tennessee,2001,37004,20
Texas,2001,39056,20
Utah,2001,33816,8
Vermont,2001,39432,10
Virginia,2001,44345,10
Washington,2001,43712,11
West Virginia,2001,30644,20
Wisconsin,2001,40092,12
Wyoming,2001,40394,12
Alabama,2002,33872,21
Alaska,2002,43784,11
Arizona,2002,35727,21
Arkansas,2002,31422,25
California,2002,44332,16
Colorado,2002,45004,11
Connecticut,2002,55969,9
Delaware,2002,45212,8
District of Columbia,2002,59264,31
Florida,2002,40210,18
Georgia,2002,38706,18
Hawaii,2002,39638,16
Idaho,2002,34302,13
Illinois,2002,44195,15
Indiana,2002,37443,9
Iowa,2002,37795,6
Kansas,2002,38740,13
Kentucky,2002,33971,16
Louisiana,2002,33236,20
Maine,2002,37571,11
Maryland,2002,49035,7
Massachusetts,2002,51384,11
Michigan,2002,39308,12
Minnesota,2002,43881,8
Mississippi,2002,30035,25
Missouri,2002,38004,10
Montana,2002,32752,14
Nebraska,2002,39702,13
Nevada,2002,41272,10
New Hampshire,2002,45890,8
New Jersey,2002,52459,9
New Mexico,2002,33393,25
New York,2002,46824,19
North Carolina,2002,36939,15
North Dakota,2002,35135,16
Ohio,2002,38702,15
Oklahoma,2002,34862,19
Oregon,2002,38097,15
Pennsylvania,2002,41624,13
Rhode Island,2002,42296,10
South Carolina,2002,33995,24
South Dakota,2002,37059,8
Tennessee,2002,37106,17
Texas,2002,38013,20
Utah,2002,33564,11
Vermont,2002,39559,11
Virginia,2002,44480,8
Washington,2002,43450,13
West Virginia,2002,31359,21
Wisconsin,2002,40295,13
Wyoming,2002,40616,9
Alabama,2003,34343,18
Alaska,2003,44080,11
Arizona,2003,36030,17
Arkansas,2003,32291,27
California,2003,44704,19
Colorado,2003,44551,14
Connecticut,2003,55417,10
Delaware,2003,44892,12
District of Columbia,2003,60878,36
Florida,2003,40436,16
Georgia,2003,38594,15
Hawaii,2003,40286,14
Idaho,2003,34317,12
Illinois,2003,43970,16
Indiana,2003,37391,10
Iowa,2003,37787,9
Kansas,2003,39002,9
Kentucky,2003,33874,18
Louisiana,2003,33353,22
Maine,2003,38307,17
Maryland,2003,49721,8
Massachusetts,2003,51430,14
Michigan,2003,39410,15
Minnesota,2003,44602,8
Mississippi,2003,30407,22
Missouri,2003,38442,13
Montana,2003,33731,16
Nebraska,2003,41202,11
Nevada,2003,42181,11
New Hampshire,2003,45753,6
New Jersey,2003,52149,9
New Mexico,2003,33327,24
New York,2003,46914,20
North Carolina,2003,36898,19
North Dakota,2003,37475,16
Ohio,2003,38806,10
Oklahoma,2003,35111,18
Oregon,2003,38192,13
Pennsylvania,2003,41882,13
Rhode Island,2003,43034,13
South Carolina,2003,34040,17
South Dakota,2003,39333,11
Tennessee,2003,37389,17
Texas,2003,38020,21
Utah,2003,33291,12
Vermont,2003,40327,11
Virginia,2003,45501,13
Washington,2003,43826,12
West Virginia,2003,31304,24
Wisconsin,2003,40514,12
Wyoming,2003,42205,10
Alabama,2004,35602,21
Alaska,2004,44055,10
Arizona,2004,37280,19
Arkansas,2004,33195,25
California,2004,45830,18
Colorado,2004,44924,12
Connecticut,2004,57512,10
Delaware,2004,45846,12
District of Columbia,2004,63755,33
Florida,2004,42003,19
Georgia,2004,38864,16
Hawaii,2004,41711,11
Idaho,2004,35738,12
Illinois,2004,44626,18
Indiana,2004,38016,12
Iowa,2004,39790,12
Kansas,2004,39443,13
Kentucky,2004,34656,17
Louisiana,2004,33984,23
Maine,2004,39119,15
Maryland,2004,51567,10
Massachusetts,2004,52658,12
Michigan,2004,39617,14
Minnesota,2004,45491,9
Mississippi,2004,31171,24
Missouri,2004,39130,13
Montana,2004,34675,18
Nebraska,2004,41554,9
Nevada,2004,44010,15
New Hampshire,2004,47146,6
New Jersey,2004,53127,9
New Mexico,2004,33894,26
New York,2004,48513,20
North Carolina,2004,38013,20
North Dakota,2004,36809,11
Ohio,2004,39194,14
Oklahoma,2004,36032,15
Oregon,2004,38993,17
Pennsylvania,2004,42761,15
Rhode Island,2004,43782,16
South Carolina,2004,34613,17
South Dakota,2004,40229,12
Tennessee,2004,38155,17
Texas,2004,38337,22
Utah,2004,33960,10
Vermont,2004,41602,9
Virginia,2004,46574,11
Washington,2004,45254,15
West Virginia,2004,31498,26
Wisconsin,2004,41189,13
Wyoming,2004,43980,10
Alabama,2005,36023,22
Alaska,2005,44589,12
Arizona,2005,38673,18
Arkansas,2005,33393,20
California,2005,46485,18
Colorado,2005,45801,10
Connecticut,2005,58257,11
Delaware,2005,45733,12
District of Columbia,2005,66519,29
Florida,2005,43257,16
Georgia,2005,39370,20
Hawaii,2005,42569,9
Idaho,2005,35778,11
Illinois,2005,44974,18
Indiana,2005,37547,16
Iowa,2005,39382,11
Kansas,2005,39892,14
Kentucky,2005,34850,22
Louisiana,2005,35051,18
Maine,2005,38486,13
Maryland,2005,52247,13
Massachusetts,2005,53225,9
Michigan,2005,39313,16
Minnesota,2005,45032,9
Mississippi,2005,32004,29
Missouri,2005,39031,16
Montana,2005,35183,15
Nebraska,2005,41394,8
Nevada,2005,46031,14
New Hampshire,2005,46867,8
New Jersey,2005,53386,8
New Mexico,2005,34720,21
New York,2005,49604,21
North Carolina,2005,38530,19
North Dakota,2005,37709,10
Ohio,2005,39081,14
Oklahoma,2005,37192,15
Oregon,2005,38850,14
Pennsylvania,2005,42849,16
Rhode Island,2005,43592,18
South Carolina,2005,35029,21
South Dakota,2005,39907,16
Tennessee,2005,37862,19
Texas,2005,39612,22
Utah,2005,35100,11
Vermont,2005,41187,8
Virginia,2005,47532,10
Washington,2005,44904,15
West Virginia,2005,31514,16
Wisconsin,2005,41000,18
Wyoming,2005,46747,11
Alabama,2006,36540,21
Alaska,2006,45230,11
Arizona,2006,40236,18
Arkansas,2006,34088,17
California,2006,48106,17
Colorado,2006,46936,15
Connecticut,2006,60692,12
Delaware,2006,46549,11
District of Columbia,2006,69754,40
Florida,2006,44720,15
Georgia,2006,39767,21
Hawaii,2006,43783,9
Idaho,2006,37025,11
Illinois,2006,46443,14
Indiana,2006,38224,15
Iowa,2006,39951,13
Kansas,2006,41594,17
Kentucky,2006,35461,20
Louisiana,2006,38356,21
Maine,2006,39418,15
Maryland,2006,53592,12
Massachusetts,2006,55431,12
Michigan,2006,39123,15
Minnesota,2006,45753,10
Mississippi,2006,32383,30
Missouri,2006,39791,15
Montana,2006,36366,16
Nebraska,2006,41611,11
Nevada,2006,46046,13
New Hampshire,2006,48152,5
New Jersey,2006,55543,8
New Mexico,2006,35395,23
New York,2006,51879,20
North Carolina,2006,39074,18
North Dakota,2006,38010,11
Ohio,2006,39783,15
Oklahoma,2006,39012,19
Oregon,2006,40065,15
Pennsylvania,2006,44030,16
Rhode Island,2006,44887,18
South Carolina,2006,35964,19
South Dakota,2006,39203,15
Tennessee,2006,38284,21
Texas,2006,40993,20
Utah,2006,36730,11
Vermont,2006,42486,7
Virginia,2006,48640,11
Washington,2006,46377,14
West Virginia,2006,32659,19
Wisconsin,2006,41933,15
Wyoming,2006,51251,10
Alabama,2007,36841,17
Alaska,2007,46896,11
Arizona,2007,40306,19
Arkansas,2007,35056,21
California,2007,48502,17
Colorado,2007,47403,11
Connecticut,2007,62511,9
Delaware,2007,46027,10
District of Columbia,2007,72193,32
Florida,2007,44756,13
Georgia,2007,39953,18
Hawaii,2007,45011,10
Idaho,2007,37155,13
Illinois,2007,47499,14
Indiana,2007,38222,11
Iowa,2007,41418,13
Kansas,2007,42681,16
Kentucky,2007,35641,23
Louisiana,2007,40256,24
Maine,2007,39916,12
Maryland,2007,54236,9
Massachusetts,2007,56456,12
Michigan,2007,39174,18
Minnesota,2007,46753,10
Mississippi,2007,33158,29
Missouri,2007,40284,16
Montana,2007,37496,15
Nebraska,2007,43226,13
Nevada,2007,45900,11
New Hampshire,2007,48763,5
New Jersey,2007,56868,11
New Mexico,2007,35945,22
New York,2007,54369,19
North Carolina,2007,39425,18
North Dakota,2007,40647,12
Ohio,2007,40018,16
Oklahoma,2007,38943,20
Oregon,2007,40259,16
Pennsylvania,2007,44851,15
Rhode Island,2007,45880,15
South Carolina,2007,36368,14
South Dakota,2007,41798,13
Tennessee,2007,38419,20
Texas,2007,41433,21
Utah,2007,37793,12
Vermont,2007,43463,9
Virginia,2007,49373,11
Washington,2007,48139,10
West Virginia,2007,32850,20
Wisconsin,2007,42346,15
Wyoming,2007,51444,13
Alabama,2008,36487,24
Alaska,2008,48722,7
Arizona,2008,38713,19
Arkansas,2008,35039,19
California,2008,47193,17
Colorado,2008,46943,11
Connecticut,2008,60690,12
Delaware,2008,44801,12
District of Columbia,2008,75494,30
Florida,2008,42974,16
Georgia,2008,38701,18
Hawaii,2008,44854,11
Idaho,2008,35517,12
Illinois,2008,46889,13
Indiana,2008,37837,17
Iowa,2008,42699,11
Kansas,2008,43949,13
Kentucky,2008,35556,20
Louisiana,2008,40923,19
Maine,2008,39675,14
Maryland,2008,53870,11
Massachusetts,2008,55750,16
Michigan,2008,38520,15
Minnesota,2008,46615,11
Mississippi,2008,33194,33
Missouri,2008,40476,21
Montana,2008,37552,13
Nebraska,2008,43866,11
Nevada,2008,43192,11
New Hampshire,2008,48033,5
New Jersey,2008,56052,10
New Mexico,2008,36163,13
New York,2008,53337,20
North Carolina,2008,38662,21
North Dakota,2008,44281,10
Ohio,2008,39391,15
Oklahoma,2008,40743,17
Oregon,2008,39822,14
Pennsylvania,2008,44549,14
Rhode Island,2008,45321,13
South Carolina,2008,35889,19
South Dakota,2008,43682,12
Tennessee,2008,37964,18
Texas,2008,42903,22
Utah,2008,37058,11
Vermont,2008,43437,11
Virginia,2008,48592,12
Washington,2008,47772,11
West Virginia,2008,33547,24
Wisconsin,2008,41917,13
Wyoming,2008,53072,10
Alabama,2009,35804,22
Alaska,2009,47995,9
Arizona,2009,36927,24
Arkansas,2009,34375,19
California,2009,45174,19
Colorado,2009,45099,15
Connecticut,2009,58409,9
Delaware,2009,44369,13
District of Columbia,2009,73615,28
Florida,2009,40571,15
Georgia,2009,37310,20
Hawaii,2009,44927,16
Idaho,2009,34421,13
Illinois,2009,45128,18
Indiana,2009,36592,21
Iowa,2009,42091,13
Kansas,2009,42113,17
Kentucky,2009,35122,22
Louisiana,2009,39550,24
Maine,2009,40020,15
Maryland,2009,53536,9
Massachusetts,2009,54671,19
Michigan,2009,37139,19
Minnesota,2009,44786,14
Mississippi,2009,32889,23
Missouri,2009,39558,17
Montana,2009,36587,18
Nebraska,2009,42877,13
Nevada,2009,40017,15
New Hampshire,2009,47593,8
New Jersey,2009,54601,14
New Mexico,2009,35327,23
New York,2009,52081,20
North Carolina,2009,37956,16
North Dakota,2009,43510,15
Ohio,2009,38591,20
Oklahoma,2009,37648,20
Oregon,2009,38748,15
Pennsylvania,2009,44141,14
Rhode Island,2009,44873,15
South Carolina,2009,35213,17
South Dakota,2009,42560,17
Tennessee,2009,37409,21
Texas,2009,40132,21
Utah,2009,35209,8
Vermont,2009,42960,9
Virginia,2009,47856,13
Washington,2009,45771,12
West Virginia,2009,33955,21
Wisconsin,2009,41690,11
Wyoming,2009,47239,12
Alabama,2010,36210,26
Alaska,2010,48678,14
Arizona,2010,36315,27
Arkansas,2010,34204,23
California,2010,45171,20
Colorado,2010,44537,17
Connecticut,2010,58988,9
Delaware,2010,43768,18
District of Columbia,2010,74174,30
Florida,2010,41107,19
Georgia,2010,36687,20
Hawaii,2010,44515,20
Idaho,2010,34293,16
Illinois,2010,44905,18
Indiana,2010,36690,21
Iowa,2010,41700,13
Kansas,2010,41462,16
Kentucky,2010,35179,19
Louisiana,2010,39740,17
Maine,2010,39755,12
Maryland,2010,53453,13
Massachusetts,2010,55004,16
Michigan,2010,37479,20
Minnesota,2010,45480,16
Mississippi,2010,32940,27
Missouri,2010,39107,19
Montana,2010,36977,18
Nebraska,2010,42654,11
Nevada,2010,39161,17
New Hampshire,2010,48035,10
New Jersey,2010,54421,13
New Mexico,2010,35441,25
New York,2010,52969,22
North Carolina,2010,37856,23
North Dakota,2010,46231,14
Ohio,2010,38672,16
Oklahoma,2010,38365,18
Oregon,2010,38350,20
Pennsylvania,2010,44479,14
Rhode Island,2010,45952,22
South Carolina,2010,34901,18
South Dakota,2010,43388,14
Tennessee,2010,37846,21
Texas,2010,40665,24
Utah,2010,34664,13
Vermont,2010,42876,11
Virginia,2010,47899,14
Washington,2010,45454,14
West Virginia,2010,33970,21
Wisconsin,2010,41374,14
Wyoming,2010,48101,10
Alabama,2011,36271,20
Alaska,2011,49916,14
Arizona,2011,36791,28
Arkansas,2011,35317,17
California,2011,46361,22
Colorado,2011,45774,16
Connecticut,2011,59620,10
Delaware,2011,44234,17
District of Columbia,2011,76772,35
Florida,2011,41663,20
Georgia,2011,37734,23
Hawaii,2011,44537,18
Idaho,2011,34890,17
Illinois,2011,45760,20
Indiana,2011,37677,24
Iowa,2011,44192,12
Kansas,2011,43614,20
Kentucky,2011,35813,23
Louisiana,2011,39888,23
Maine,2011,40199,18
Maryland,2011,54071,12
Massachusetts,2011,56188,14
Michigan,2011,38501,18
Minnesota,2011,46849,12
Mississippi,2011,33264,36
Missouri,2011,39385,20
Montana,2011,38219,18
Nebraska,2011,45296,10
Nevada,2011,38794,22
New Hampshire,2011,49381,5
New Jersey,2011,55243,13
New Mexico,2011,36015,24
New York,2011,53812,24
North Carolina,2011,37823,24
North Dakota,2011,49592,16
Ohio,2011,40022,20
Oklahoma,2011,40384,23
Oregon,2011,39065,22
Pennsylvania,2011,45384,15
Rhode Island,2011,46176,18
South Carolina,2011,35306,23
South Dakota,2011,46040,13
Tennessee,2011,38489,24
Texas,2011,42493,25
Utah,2011,35468,13
Vermont,2011,44516,10
Virginia,2011,48771,12
Washington,2011,46170,12
West Virginia,2011,35177,23
Wisconsin,2011,42249,12
Wyoming,2011,51034,12
Alabama,2012,36474,20
Alaska,2012,50645,17
Arizona,2012,37166,22
Arkansas,2012,36962,25
California,2012,48208,23
Colorado,2012,47001,14
Connecticut,2012,61115,13
Delaware,2012,44683,20
District of Columbia,2012,77075,40
Florida,2012,41649,21
Georgia,2012,37780,23
Hawaii,2012,45238,17
Idaho,2012,35662,20
Illinois,2012,46690,18
Indiana,2012,38701,21
Iowa,2012,44666,11
Kansas,2012,44022,21
Kentucky,2012,36388,22
Louisiana,2012,41218,30
Maine,2012,40453,18
Maryland,2012,54454,11
Massachusetts,2012,57553,14
Michigan,2012,39156,22
Minnesota,2012,48079,13
Mississippi,2012,33941,22
Missouri,2012,40524,23
Montana,2012,39722,25
Nebraska,2012,46594,14
Nevada,2012,39810,20
New Hampshire,2012,50797,10
New Jersey,2012,55745,16
New Mexico,2012,36335,31
New York,2012,54900,23
North Carolina,2012,39109,23
North Dakota,2012,57144,12
Ohio,2012,40826,21
Oklahoma,2012,42012,19
Oregon,2012,39839,21
Pennsylvania,2012,46252,14
Rhode Island,2012,46942,17
South Carolina,2012,35870,22
South Dakota,2012,46352,20
Tennessee,2012,39580,23
Texas,2012,43912,24
Utah,2012,36422,13
Vermont,2012,45101,15
Virginia,2012,49436,13
Washington,2012,47752,18
West Virginia,2012,35660,23
Wisconsin,2012,43104,18
Wyoming,2012,53246,11
Alabama,2013,36481,26
Alaska,2013,50150,13
Arizona,2013,36983,28
Arkansas,2013,36698,27
California,2013,48434,21
Colorado,2013,46897,15
Connecticut,2013,60658,14
Delaware,2013,44815,20
District of Columbia,2013,75329,32
Florida,2013,41497,21
Georgia,2013,37845,26
Hawaii,2013,45204,20
Idaho,2013,36146,17
Illinois,2013,46980,19
Indiana,2013,38622,21
Iowa,2013,44763,13
Kansas,2013,44417,21
Kentucky,2013,36214,24
Louisiana,2013,41204,31
Maine,2013,40924,16
Maryland,2013,53826,12
Massachusetts,2013,57248,15
Michigan,2013,39055,18
Minnesota,2013,47500,14
Mississippi,2013,33913,30
Missouri,2013,40663,21
Montana,2013,39366,20
Nebraska,2013,47157,16
Nevada,2013,39235,19
New Hampshire,2013,51013,9
New Jersey,2013,55386,11
New Mexico,2013,35965,29
New York,2013,54462,24
North Carolina,2013,38683,23
North Dakota,2013,53182,16
Ohio,2013,41049,20
Oklahoma,2013,41861,23
Oregon,2013,39848,19
Pennsylvania,2013,46202,19
Rhode Island,2013,46989,20
South Carolina,2013,35831,22
South Dakota,2013,46039,13
Tennessee,2013,39558,23
Texas,2013,43862,23
Utah,2013,36640,12
Vermont,2013,45483,17
Virginia,2013,48838,14
Washington,2013,47717,15
West Virginia,2013,35533,17
Wisconsin,2013,43244,14
Wyoming,2013,52826,10
