State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Nebraska,1485333,1504604,1519013,1529567,1539191,1543117,1550911,1556842,1563884,1567344,1569825,1578515,1581780,1584293,1588639,1584664,1574333,1566547,1571477,1574864,1578385,1590805,1602406,1612149,1621551,1635142,1647657,1656042,1660772,1666028,1713345,1717948,1725083,1733680,1742184,1751721,1760435,1769912,1781949,1796619,1829838,1841749,1855350,1868516
Nevada,488738,520018,546789,568991,596822,619972,646975,678333,719436,765367,800493,847655,881537,901977,924922,951030,980613,1023376,1075022,1137382,1201833,1285046,1330694,1380197,1456388,1525777,1596476,1675581,1743772,1809253,2018211,2094509,2166214,2236949,2328703,2408804,2493405,2567752,2615772,2643085,2703230,2717951,2754354,2790136
New Hampshire,737681,761851,781107,800951,815914,828555,845248,869763,891520,909074,920610,936621,947719,958134,976864,996753,1025053,1054289,1082577,1104522,1109252,1107055,1112766,1122191,1133054,1145604,1160768,1173239,1185823,1201134,1240446,1256879,1271163,1281871,1292766,1301415,1311894,1317343,1321872,1324575,1316614,1318075,1321617,1323459
New Jersey,7171112,7281107,7335042,7333083,7332411,7337765,7339745,7337169,7350804,7366512,7364823,7407472,7430968,7467785,7515473,7565528,7622159,7670742,7712333,7726089,7730188,7784269,7827770,7874891,7918796,7965523,8009624,8054178,8095542,8143412,8430921,8489469,8544115,8583481,8611530,8621837,8623721,8636043,8663398,8707739,8802707,8836639,8867749,8899339
New Mexico,1017055,1053737,1078697,1105529,1131309,1159944,1189295,1215720,1238034,1284722,1302894,1332748,1363823,1394361,1416717,1438361,1462729,1478520,1490337,1503901,1515069,1547115,1580750,1614937,1653329,1682417,1706151,1722939,1733535,1739844,1820813,1828809,1850035,1869683,1891829,1916538,1942608,1968731,1986763,2009671,2064982,2077919,2083540,2085287
New York,18241391,18357982,18339400,18177063,18049775,18003485,17940541,17812602,17680589,17583838,17558072,17567734,17589738,17686905,17745684,17791672,17833419,17868848,17941309,17983086,17990455,18029532,18082032,18140894,18156652,18150928,18143805,18143184,18159175,18196601,18998044,19088978,19161873,19231101,19297933,19330891,19356564,19422777,19467789,19541453,19398228,19502728,19576125,19651127
North Carolina,5084411,5203531,5301150,5389852,5470911,5547188,5607964,5685607,5759492,5823491,5881766,5956653,6019101,6077056,6164006,6253954,6321578,6403700,6480594,6565459,6628637,6748135,6831850,6947412,7060959,7185403,7307658,7428672,7545828,7650789,8079383,8203451,8316617,8416451,8531283,8669452,8866977,9064074,9247134,9380884,9559533,9651377,9748364,9848060
North Dakota,617792,626760,631119,632675,634559,638886,645797,649769,651301,652896,652717,659505,668972,676688,680497,676980,669512,661136,655331,646351,638800,634199,635427,637229,639762,641548,642858,640945,637808,633666,641200,636267,633617,632809,636303,635365,636771,638202,641421,646844,674344,684867,701345,723393
Ohio,10657423,10734818,10746993,10767314,10765759,10770425,10752662,10771394,10795581,10798298,10797630,10788330,10757087,10737632,10737746,10734926,10730268,10760090,10798552,10829217,10847115,10933683,11007609,11070385,11111451,11155493,11187032,11212498,11237752,11256654,11363844,11396874,11420981,11445180,11464593,11475262,11492495,11520815,11528072,11542645,11545435,11549772,11553031,11570808
Oklahoma,2559463,2618601,2658646,2695931,2734768,2774683,2826815,2870014,2917336,2975310,3025290,3096164,3206123,3290402,3285533,3271332,3252735,3210122,3167057,3150307,3145585,3166471,3204174,3228829,3246119,3265547,3289634,3314259,3339478,3358044,3453943,3464729,3484754,3498687,3514449,3532769,3574334,3612186,3644025,3687050,3759263,3785534,3815780,3850568
Oregon,2091533,2151022,2197297,2241932,2285013,2329661,2378262,2446673,2518298,2588012,2633105,2667982,2664922,2653066,2666588,2672652,2683528,2700991,2741297,2790575,2842321,2918745,2973934,3034490,3087142,3141421,3195087,3243254,3282055,3316154,3430891,3470382,3517111,3550180,3573505,3617869,3677545,3732957,3782991,3825657,3837208,3867937,3899801,3930065
Pennsylvania,11800766,11886400,11908233,11890527,11870884,11906095,11897378,11893591,11879396,11887975,11863895,11858567,11845146,11837723,11815172,11770862,11782752,11810866,11845752,11865996,11881643,11943160,11980819,12022128,12042545,12044780,12038008,12015888,12002329,11994016,12285504,12299533,12326302,12357524,12388368,12418161,12471142,12522531,12566368,12604767,12710472,12741310,12764475,12773801
Rhode Island,949723,963107,974790,975738,950615,942788,946089,950230,951816,950382,947154,953013,954170,956382,961894,968955,977341,989604,996408,1000666,1003464,1003990,1000571,997852,993412,989203,987858,986966,987704,990819,1050736,1058051,1066034,1071504,1071414,1064989,1060196,1055009,1053502,1053209,1052669,1050350,1050304,1051511
South Carolina,2590713,2662269,2719197,2776605,2844749,2902028,2943657,2991681,3044364,3090267,3121820,3179255,3207614,3234066,3271868,3303209,3342758,3380506,3412096,3456775,3486703,3559470,3600576,3634507,3666456,3699943,3738974,3790066,3839578,3885736,4023570,4062701,4103934,4146474,4201306,4256199,4339399,4424232,4503280,4561242,4636361,4673509,4723417,4774839
South Dakota,666257,671297,677234,678715,679585,681042,686390,688480,688580,688335,690768,689584,690597,693008,697249,698402,696034,696036,698165,696701,696004,701445,708698,716258,723038,728251,730699,730855,730789,733133,755694,758983,762107,766975,774283,780084,788519,797035,804532,812383,816211,823772,834047,844877
Tennessee,3926018,4013608,4094611,4147401,4213509,4275566,4346928,4422921,4486314,4560473,4591120,4627658,4646041,4659749,4686737,4715296,4738708,4782927,4822437,4854444,4877185,4946886,5013999,5085666,5163016,5241168,5313576,5378433,5432679,5483535,5703243,5755443,5803306,5856522,5916762,5995748,6089453,6172862,6240456,6296254,6356683,6398361,6454914,6495978
Texas,11198655,11509848,11759148,12019543,12268629,12568843,12904089,13193050,13500429,13888371,14229191,14746318,15331415,15751676,16007086,16272734,16561113,16621791,16667022,16806735,16986510,17339904,17650479,17996764,18338319,18679706,19006240,19355427,19712389,20044141,20945963,21332847,21710788,22057801,22418319,22801920,23369024,23837701,24304290,24782302,25245178,25640909,26060796,26448193
Utah,1059273,1101192,1135449,1170040,1200471,1236030,1274928,1319512,1367510,1420238,1461037,1515471,1558314,1594943,1622342,1642910,1662834,1678119,1689372,1705864,1722850,1771941,1821498,1875993,1930436,1976774,2022253,2065397,2100562,2129836,2244314,2291250,2334473,2379938,2438915,2499637,2583724,2663796,2727343,2784572,2774424,2814784,2854871,2900872
Vermont,444732,454318,463143,468430,473002,479713,484928,491931,498109,505372,511456,515594,519109,523302,526660,530035,534066,540267,549763,557707,562758,567141,570115,574004,578900,582827,586352,588665,590579,593740,609903,612153,614950,616559,618145,618814,619985,620460,621049,621760,625793,626320,625953,626630
Virginia,4651448,4750838,4824472,4901292,4971069,5047395,5121863,5193112,5270240,5307945,5346818,5444097,5492783,5564657,5643870,5715153,5811700,5932268,6036909,6120246,6187358,6283853,6383315,6464795,6536771,6601392,6665491,6732878,6789225,6872912,7104533,7191304,7283541,7373694,7468914,7563887,7646996,7719749,7795424,7882590,8024417,8105850,8186628,8260405
Washington,3413244,3447553,3447885,3478782,3549946,3621339,3693610,3776050,3889073,4017632,4132156,4235731,4276552,4300266,4343656,4400098,4452720,4531901,4639893,4746316,4866692,5013443,5139011,5247704,5334896,5431024,5509963,5604105,5687832,5756361,5911122,5987785,6056187,6113262,6184289,6261282,6372243,6464979,6566073,6664195,6742256,6821481,6895318,6971406
West Virginia,1744237,1770657,1797648,1806360,1815447,1842250,1879503,1908088,1923395,1942146,1949644,1954124,1949604,1945061,1927697,1906831,1882350,1857585,1830215,1806568,1793477,1798212,1805462,1816179,1818490,1820560,1818983,1815588,1811688,1806928,1806962,1798582,1799411,1802238,1803302,1803920,1807237,1811198,1814873,1819777,1854146,1855184,1856680,1854304
Wisconsin,4417821,4462155,4502412,4524244,4545782,4578986,4595904,4626514,4646108,4682811,4705767,4726343,4728870,4721438,4735563,4747767,4755618,4777919,4822388,4856574,4891769,4952675,5004636,5055318,5095504,5137004,5173828,5200235,5222124,5250446,5374254,5408769,5446766,5476796,5511385,5541443,5571680,5601571,5627610,5654774,5689060,5708785,5724554,5742713
Wyoming,332416,340285,347345,354061,365501,381695,396952,413354,432880,454378,469557,491712,506400,510345,504896,499695,495633,476965,465101,458374,453588,457739,463491,469033,474982,478447,480085,480031,480045,479602,493958,492982,497069,499189,502988,506242,512841,523414,532981,544270,564222,567329,576626,582658
